ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9552746,HX204995,03/31/2014 12:18:00 AM,070XX S MORGAN ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,733,7,17,68,04A,1170860,1858142,2014,02/04/2016 06:33:39 AM,41.76621616,-87.64929444,"(41.766216157, -87.64929444)"
9552757,HX204916,03/30/2014 10:13:00 PM,022XX S KEDZIE AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,TRUE,TRUE,1024,10,24,30,04A,1155375,1888926,2014,02/04/2016 06:33:39 AM,41.85101552,-87.70522828,"(41.851015522, -87.705228282)"
9552769,HX203840,03/29/2014 10:30:00 PM,016XX N SPAULDING AVE,560,ASSAULT,SIMPLE,STREET,TRUE,FALSE,1422,14,26,23,08A,1153892,1910712,2014,02/04/2016 06:33:39 AM,41.91082819,-87.71009057,"(41.910828185, -87.710090571)"
9552783,HX205026,03/31/2014 01:45:00 AM,066XX S HALSTED ST,560,ASSAULT,SIMPLE,GAS STATION,FALSE,FALSE,723,7,6,68,08A,1172118,1860619,2014,02/04/2016 06:33:39 AM,41.7729858,-87.64461072,"(41.772985796, -87.644610724)"
9552803,HX205068,03/31/2014 03:57:00 AM,002XX S LAVERGNE AVE,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,1533,15,28,25,08A,1143290,1898767,2014,02/04/2016 06:33:39 AM,41.87825451,-87.74933761,"(41.878254511, -87.749337612)"
9552810,HX205088,03/31/2014 05:25:00 AM,078XX S GREEN ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,621,6,17,71,08A,1171994,1852946,2014,02/04/2016 06:33:39 AM,41.75193286,-87.64529026,"(41.751932858, -87.645290255)"
9552823,HX205074,03/31/2014 04:25:00 AM,002XX W CERMAK RD,560,ASSAULT,SIMPLE,RESTAURANT,TRUE,FALSE,914,9,25,34,08A,1175096,1889744,2014,02/04/2016 06:33:39 AM,41.85284154,-87.63282388,"(41.852841538, -87.632823878)"
9552933,HX205133,03/30/2014 04:30:00 AM,001XX W OHIO ST,560,ASSAULT,SIMPLE,HOTEL/MOTEL,FALSE,FALSE,1831,18,42,8,08A,1175195,1904167,2014,02/04/2016 06:33:39 AM,41.89241695,-87.63202801,"(41.892416949, -87.632028008)"
9552940,HX205145,03/31/2014 07:30:00 AM,010XX E 93RD ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,TRUE,413,4,8,47,08A,1184963,1843531,2014,02/04/2016 06:33:39 AM,41.72580266,-87.59805997,"(41.72580266, -87.598059966)"
9552955,HX205193,03/14/2014 04:45:00 PM,0000X W WASHINGTON ST,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,111,1,42,32,08A,1175800,1900817,2014,02/04/2016 06:33:39 AM,41.88321078,-87.62990697,"(41.883210775, -87.629906972)"
9552960,HX205206,03/30/2014 09:00:00 PM,033XX W MAYPOLE AVE,560,ASSAULT,SIMPLE,CHA APARTMENT,FALSE,FALSE,1123,11,28,27,08A,1154163,1900785,2014,02/04/2016 06:33:39 AM,41.88358215,-87.70936024,"(41.883582151, -87.709360238)"
9552987,HX205184,03/26/2014 03:30:00 PM,029XX N MONITOR AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,FALSE,FALSE,2514,25,30,19,04A,1136878,1918847,2014,02/04/2016 06:33:39 AM,41.93347379,-87.77239927,"(41.933473788, -87.772399266)"
9553020,HX205192,03/31/2014 07:00:00 AM,049XX W CORNELIA AVE,560,ASSAULT,SIMPLE,APARTMENT,TRUE,TRUE,1634,16,38,15,08A,1142759,1922815,2014,02/04/2016 06:33:39 AM,41.94425474,-87.75068753,"(41.944254739, -87.750687531)"
9553070,HX205233,03/29/2014 11:45:00 AM,081XX S VINCENNES AVE,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,622,6,21,44,08A,1174708,1850883,2014,02/04/2016 06:33:39 AM,41.74621174,-87.63540603,"(41.74621174, -87.635406033)"
9553142,HX205297,03/31/2014 09:10:00 AM,011XX S LAFLIN ST,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,TRUE,TRUE,1231,12,2,28,04A,1166546,1895280,2014,02/04/2016 06:33:39 AM,41.86821992,-87.66404656,"(41.868219921, -87.664046556)"
9553170,HX205260,03/31/2014 09:15:00 AM,008XX W HARRISON ST,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,1232,12,2,28,08A,1170993,1897554,2014,02/04/2016 06:33:39 AM,41.87436364,-87.64765414,"(41.874363641, -87.64765414)"
9553221,HX205356,03/25/2014 02:40:00 PM,073XX S HOYNE AVE,560,ASSAULT,SIMPLE,VEHICLE-COMMERCIAL,FALSE,FALSE,735,7,17,67,08A,1163633,1855929,2014,02/04/2016 06:33:39 AM,41.76029804,-87.67584607,"(41.760298036, -87.675846066)"
9553228,HX204432,03/30/2014 02:00:00 PM,035XX W GRENSHAW ST,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,FALSE,FALSE,1133,11,24,29,04A,1152998,1894831,2014,02/04/2016 06:33:39 AM,41.8672669,-87.71379605,"(41.867266901, -87.71379605)"
9553265,HX205291,03/01/2014 02:30:00 PM,009XX W VAN BUREN ST,560,ASSAULT,SIMPLE,ATHLETIC CLUB,FALSE,FALSE,1232,12,2,28,08A,1170333,1898374,2014,02/04/2016 06:33:39 AM,41.87662822,-87.65005338,"(41.876628223, -87.650053381)"
9553363,HX205463,03/31/2014 11:45:00 AM,010XX N CICERO AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,1531,15,37,25,04A,1144175,1906302,2014,02/04/2016 06:33:39 AM,41.89891487,-87.74589865,"(41.898914865, -87.745898649)"
9553375,HX205448,03/31/2014 09:00:00 AM,034XX W WILSON AVE,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1723,17,33,14,08A,1152455,1930350,2014,02/04/2016 06:33:39 AM,41.96474492,-87.71484914,"(41.964744922, -87.714849143)"
9553433,HX205480,03/19/2014 11:00:00 AM,078XX S WESTERN AVE,560,ASSAULT,SIMPLE,OTHER,FALSE,TRUE,835,8,18,70,08A,1161738,1852652,2014,02/04/2016 06:33:39 AM,41.751345,-87.68288213,"(41.751344998, -87.682882126)"
9553480,HX205501,03/31/2014 12:40:00 PM,065XX S MOZART ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,831,8,15,66,08A,1158505,1861124,2014,02/04/2016 06:33:39 AM,41.77465991,-87.69449902,"(41.774659906, -87.694499017)"
